Factuurnummer,Factuurdatum,Identificatienummer,Naam,Commerciële naam,Bedrijfscategorieën,Vertegenwoordiger,Land,Stad,Prijsklasse,Artikelnummer,Naam product,Productcategorieën,Aantal,Grondstof,Liter
202100003,29/11/2021,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,104,Hoop Bleke Nelis dolium 20L,"Bier in dolium (one-way keg), Kern",1,Hoop Bleke Nelis,20.0
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,57,"Hoop Seasonal Summer Session IPA doos 12fles/0,33l","Bier in fles, Seasonal",2,Hoop Kaper Tropical - Summer Session IPA,7.92
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,7,Hoop Bleke Nelis,11.55
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,3,Hoop Bleke Nelis,4.95
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,1,Hoop Bleke Nelis,1.98
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100005,29/11/2021,651,Gall & Gall Castricum,Gall & Gall Castricum,Slijterij,Sjors Sombroek,Nederland,CASTRICUM,Gall & Gall franchise,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,2,Hoop Bleke Nelis,3.3
202100005,29/11/2021,651,Gall & Gall Castricum,Gall & Gall Castricum,Slijterij,Sjors Sombroek,Nederland,CASTRICUM,Gall & Gall franchise,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100006,29/11/2021,610,Gall&Gall Oudorperplein Alkmaar5112,Gall&Gall Oudorperplein Alkmaar5112,Slijterij,Sjors Sombroek,Nederland,ALKMAAR,Gall & Gall franchise,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,3,Hoop Bleke Nelis,4.95
202100006,29/11/2021,610,Gall&Gall Oudorperplein Alkmaar5112,Gall&Gall Oudorperplein Alkmaar5112,Slijterij,Sjors Sombroek,Nederland,ALKMAAR,Gall & Gall franchise,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,3,Hoop Kaper Tropical - Summer Session IPA,5.94
202100007,29/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,10,Hoop Bleke Nelis,16.5
202100009,30/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,2,Hoop Bleke Nelis,3.3
202100010,29/11/2021,476,SPAR linnenbank,SPAR linnenbank,"Keten, Zaanstreek",Sjors Sombroek,Nederland,ZAANDIJK,Korting 20%,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,1,Hoop Kaper Tropical - Summer Session IPA,1.98
202100010,29/11/2021,476,SPAR linnenbank,SPAR linnenbank,"Keten, Zaanstreek",Sjors Sombroek,Nederland,ZAANDIJK,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,1,Hoop Bleke Nelis,1.65
202100011,30/11/2021,271,Restaurant De Kraai B.V.,Restaurant De Kraai B.V.,"Restaurant, Zaanstreek",Dennis de Leeuw,Nederland,ZAANDAM,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202100012,24/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,8,Hoop Bleke Nelis,13.2
202100013,26/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,5,Hoop Bleke Nelis,8.25
202100013,26/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,4,Hoop Kaper Tropical - Summer Session IPA,7.92
202100013,26/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,3,Hoop Bleke Nelis,5.94
202100014,25/11/2021,151,Multi Bier BV,Multi Bier BV,Distributeurs,Dennis de Leeuw,Nederland,Helmond,Multibier,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,15,Hoop Bleke Nelis,24.75
202100017,26/11/2021,608,De Koffiezaak Verskade B.V.,De Koffiezaak Verskade B.V.,"Retail, Speciaalzaak, Zaanstreek",,Nederland,ZAANDAM,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",4,Hoop Bleke Nelis,15.84
202100018,01/12/2021,333,VVV Zaanstore,VVV Zaanstore,"Retail, Zaanstreek",Sjors Sombroek,Nederland,Zaandam,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",7,Hoop Bleke Nelis,27.72
202100019,25/11/2021,333,VVV Zaanstore,VVV Zaanstore,"Retail, Zaanstreek",Sjors Sombroek,Nederland,Zaandam,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",3,Hoop Bleke Nelis,11.88
202100020,25/11/2021,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96
202100020,25/11/2021,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202100021,25/11/2021,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",19,Hoop Bleke Nelis,75.24
202100023,30/11/2021,465,Contant,Contant,Eigen groep,,Nederland,Lagedijk,Standaard prijs,104,Hoop Bleke Nelis dolium 20L,"Bier in dolium (one-way keg), Kern",1,Hoop Bleke Nelis,20.0
202100024,26/11/2021,20,De Keuken in,De Keuken in,"Retail, Speciaalzaak, Zaanstreek",Sjors Sombroek,Nederland,ASSENDELFT,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
