week,beer,container,forecast_liters,month_start
2026-02-16,Hoop Bleke Nelis,Bottle 33cl,45.92924285714287,2026-02-01
2026-02-23,Hoop Bleke Nelis,Bottle 33cl,49.58564809523814,2026-02-01
2026-03-02,Hoop Bleke Nelis,Bottle 33cl,83.21716333333332,2026-03-01
2026-03-09,Hoop Bleke Nelis,Bottle 33cl,61.73041023809514,2026-03-01
2026-03-16,Hoop Bleke Nelis,Bottle 33cl,87.42303166666666,2026-03-01
2026-03-23,Hoop Bleke Nelis,Bottle 33cl,223.92494666666636,2026-03-01
2026-03-30,Hoop Bleke Nelis,Bottle 33cl,109.96279642857148,2026-03-01
2026-04-06,Hoop Bleke Nelis,Bottle 33cl,66.49860119047618,2026-04-01
2026-04-13,Hoop Bleke Nelis,Bottle 33cl,78.66850357142854,2026-04-01
2026-04-20,Hoop Bleke Nelis,Bottle 33cl,106.60659428571418,2026-04-01
2026-04-27,Hoop Bleke Nelis,Bottle 33cl,78.38453071428567,2026-04-01
2026-05-04,Hoop Bleke Nelis,Bottle 33cl,56.24195499999999,2026-05-01
2026-05-11,Hoop Bleke Nelis,Bottle 33cl,59.1515964285714,2026-05-01
2026-02-16,Hoop Bleke Nelis,Bottle 75cl,2.7604404761904764,2026-02-01
2026-02-23,Hoop Bleke Nelis,Bottle 75cl,1.450059523809524,2026-02-01
2026-03-02,Hoop Bleke Nelis,Bottle 75cl,1.3753095238095239,2026-03-01
2026-03-09,Hoop Bleke Nelis,Bottle 75cl,1.604142857142857,2026-03-01
2026-03-16,Hoop Bleke Nelis,Bottle 75cl,13.1230625,2026-03-01
2026-03-23,Hoop Bleke Nelis,Bottle 75cl,6.140869047619048,2026-03-01
2026-03-30,Hoop Bleke Nelis,Bottle 75cl,7.6601517857142865,2026-03-01
2026-04-06,Hoop Bleke Nelis,Bottle 75cl,1.7533333333333334,2026-04-01
2026-04-13,Hoop Bleke Nelis,Bottle 75cl,3.287071428571428,2026-04-01
2026-04-20,Hoop Bleke Nelis,Bottle 75cl,2.48625,2026-04-01
2026-04-27,Hoop Bleke Nelis,Bottle 75cl,8.754589285714284,2026-04-01
2026-05-04,Hoop Bleke Nelis,Bottle 75cl,5.752101190476191,2026-05-01
2026-05-11,Hoop Bleke Nelis,Bottle 75cl,6.883267857142858,2026-05-01
2026-02-16,Hoop Bleke Nelis,Can 33cl,56.79312571428561,2026-02-01
2026-02-23,Hoop Bleke Nelis,Can 33cl,40.37681999999995,2026-02-01
2026-03-02,Hoop Bleke Nelis,Can 33cl,39.65655047619043,2026-03-01
2026-03-09,Hoop Bleke Nelis,Can 33cl,47.701499999999925,2026-03-01
2026-03-16,Hoop Bleke Nelis,Can 33cl,39.29678761904756,2026-03-01
2026-03-23,Hoop Bleke Nelis,Can 33cl,39.494756190476124,2026-03-01
2026-03-30,Hoop Bleke Nelis,Can 33cl,37.70615619047613,2026-03-01
2026-04-06,Hoop Bleke Nelis,Can 33cl,38.387716190476134,2026-04-01
2026-04-13,Hoop Bleke Nelis,Can 33cl,35.75937619047613,2026-04-01
2026-04-20,Hoop Bleke Nelis,Can 33cl,36.72165619047612,2026-04-01
2026-04-27,Hoop Bleke Nelis,Can 33cl,50.85037047619036,2026-04-01
2026-05-04,Hoop Bleke Nelis,Can 33cl,52.97883904761892,2026-05-01
2026-05-11,Hoop Bleke Nelis,Can 33cl,52.35413333333321,2026-05-01
2026-02-16,Hoop Bleke Nelis,Keg 20L,133.03652116402117,2026-02-01
2026-02-23,Hoop Bleke Nelis,Keg 20L,147.68264550264556,2026-02-01
2026-03-02,Hoop Bleke Nelis,Keg 20L,143.9663888888889,2026-03-01
2026-03-09,Hoop Bleke Nelis,Keg 20L,184.59238095238095,2026-03-01
2026-03-16,Hoop Bleke Nelis,Keg 20L,203.35387566137572,2026-03-01
2026-03-23,Hoop Bleke Nelis,Keg 20L,193.4281613756615,2026-03-01
2026-03-30,Hoop Bleke Nelis,Keg 20L,206.40985449735453,2026-03-01
2026-04-06,Hoop Bleke Nelis,Keg 20L,220.82142857142856,2026-04-01
2026-04-13,Hoop Bleke Nelis,Keg 20L,215.76022486772482,2026-04-01
2026-04-20,Hoop Bleke Nelis,Keg 20L,197.6138095238095,2026-04-01
2026-04-27,Hoop Bleke Nelis,Keg 20L,307.83277777777784,2026-04-01
2026-05-04,Hoop Bleke Nelis,Keg 20L,294.26465608465617,2026-05-01
2026-05-11,Hoop Bleke Nelis,Keg 20L,242.1421031746034,2026-05-01
2026-02-16,Hoop Bleke Nelis,Other,14.623123571428566,2026-02-01
2026-02-23,Hoop Bleke Nelis,Other,21.21449740079366,2026-02-01
2026-03-02,Hoop Bleke Nelis,Other,16.6336519642857,2026-03-01
2026-03-09,Hoop Bleke Nelis,Other,29.88559482142859,2026-03-01
2026-03-16,Hoop Bleke Nelis,Other,38.42502468253966,2026-03-01
2026-03-23,Hoop Bleke Nelis,Other,30.696121329365063,2026-03-01
2026-03-30,Hoop Bleke Nelis,Other,23.37979698412697,2026-03-01
2026-04-06,Hoop Bleke Nelis,Other,17.370055992063467,2026-04-01
2026-04-13,Hoop Bleke Nelis,Other,12.705654285714282,2026-04-01
2026-04-20,Hoop Bleke Nelis,Other,16.248434464285708,2026-04-01
