month_start,beer,container,forecast_liters
2026-02-01,Hoop Bleke Nelis,Bottle 33cl,95.51489095238101
2026-02-01,Hoop Bleke Nelis,Bottle 75cl,4.210500000000001
2026-02-01,Hoop Bleke Nelis,Can 33cl,97.16994571428556
2026-02-01,Hoop Bleke Nelis,Keg 20L,280.71916666666675
2026-02-01,Hoop Bleke Nelis,Other,35.837620972222226
2026-02-01,Hoop Kaper Tropical IPA,Bottle 33cl,71.79536309523816
2026-02-01,Hoop Kaper Tropical IPA,Keg 20L,127.619537037037
2026-02-01,Hoop Kaper Tropical IPA,Other,7.07913380952381
2026-02-01,Hoop Lager,Bottle 33cl,0.7152200000000001
2026-02-01,Hoop Lager,Keg 20L,636.3349338624337
2026-02-01,Hoop Lager,Keg 50L,0.0
2026-02-01,Hoop Lager,Other,7.648934027777775
2026-03-01,Hoop Bleke Nelis,Bottle 33cl,566.258348333333
2026-03-01,Hoop Bleke Nelis,Bottle 75cl,29.903535714285717
2026-03-01,Hoop Bleke Nelis,Can 33cl,203.85575047619017
2026-03-01,Hoop Bleke Nelis,Keg 20L,931.7506613756616
2026-03-01,Hoop Bleke Nelis,Other,139.02018978174598
2026-03-01,Hoop Kaper Tropical IPA,Bottle 33cl,189.9272264285715
2026-03-01,Hoop Kaper Tropical IPA,Keg 20L,344.2918121693122
2026-03-01,Hoop Kaper Tropical IPA,Other,21.21868702380953
2026-03-01,Hoop Lager,Bottle 33cl,40.46310714285711
2026-03-01,Hoop Lager,Keg 20L,1711.4952513227508
2026-03-01,Hoop Lager,Keg 50L,0.0
2026-03-01,Hoop Lager,Other,40.51231636904761
2026-04-01,Hoop Bleke Nelis,Bottle 33cl,330.1582297619046
2026-04-01,Hoop Bleke Nelis,Bottle 75cl,16.281244047619047
2026-04-01,Hoop Bleke Nelis,Can 33cl,161.71911904761873
2026-04-01,Hoop Bleke Nelis,Keg 20L,942.0282407407407
2026-04-01,Hoop Bleke Nelis,Other,60.29431416666663
2026-04-01,Hoop Kaper Tropical IPA,Bottle 33cl,186.9247642857142
2026-04-01,Hoop Kaper Tropical IPA,Keg 20L,403.21455026455027
2026-04-01,Hoop Kaper Tropical IPA,Other,23.068436547619047
2026-04-01,Hoop Lager,Bottle 33cl,40.67278809523807
2026-04-01,Hoop Lager,Keg 20L,1699.7488624338619
2026-04-01,Hoop Lager,Keg 50L,15.916666666666666
2026-04-01,Hoop Lager,Other,27.390017956349187
