week,beer,container,forecast_liters
2026-02-16,Hoop Bleke Nelis,Bottle 33cl,18.406361177138145
2026-02-23,Hoop Bleke Nelis,Bottle 33cl,48.5759343310597
2026-03-02,Hoop Bleke Nelis,Bottle 33cl,161.18152898450523
2026-03-09,Hoop Bleke Nelis,Bottle 33cl,72.42378088302114
2026-03-16,Hoop Bleke Nelis,Bottle 33cl,65.11468729410848
2026-03-23,Hoop Bleke Nelis,Bottle 33cl,136.67816756445376
2026-03-30,Hoop Bleke Nelis,Bottle 33cl,113.61875086737822
2026-04-06,Hoop Bleke Nelis,Bottle 33cl,81.15171793694456
2026-04-13,Hoop Bleke Nelis,Bottle 33cl,26.071535007061744
2026-04-20,Hoop Bleke Nelis,Bottle 33cl,211.70195175641925
2026-04-27,Hoop Bleke Nelis,Bottle 33cl,81.22518623529024
2026-05-04,Hoop Bleke Nelis,Bottle 33cl,55.18513822718202
2026-05-11,Hoop Bleke Nelis,Bottle 33cl,23.89716190321777
2026-05-18,Hoop Bleke Nelis,Bottle 33cl,49.52415067372875
2026-05-25,Hoop Bleke Nelis,Bottle 33cl,60.01605083755306
2026-06-01,Hoop Bleke Nelis,Bottle 33cl,39.44136045126148
2026-06-08,Hoop Bleke Nelis,Bottle 33cl,43.01709230343621
2026-06-15,Hoop Bleke Nelis,Bottle 33cl,100.57452183351086
2026-06-22,Hoop Bleke Nelis,Bottle 33cl,59.532855970088484
2026-06-29,Hoop Bleke Nelis,Bottle 33cl,53.94561421465326
2026-07-06,Hoop Bleke Nelis,Bottle 33cl,66.39508740629412
2026-07-13,Hoop Bleke Nelis,Bottle 33cl,81.23134352232242
2026-07-20,Hoop Bleke Nelis,Bottle 33cl,54.1374182078221
2026-07-27,Hoop Bleke Nelis,Bottle 33cl,42.73492696137722
2026-08-03,Hoop Bleke Nelis,Bottle 33cl,55.033916287910145
2026-08-10,Hoop Bleke Nelis,Bottle 33cl,66.9839861124293
2026-08-17,Hoop Bleke Nelis,Bottle 33cl,77.52338667733282
2026-08-24,Hoop Bleke Nelis,Bottle 33cl,45.9278348337379
2026-08-31,Hoop Bleke Nelis,Bottle 33cl,116.64524883103326
