beer,container,forecast_total_next_13w
Hoop Lager,Keg 20L,4891.558452380951
Hoop Bleke Nelis,Keg 20L,2690.9048280423285
Hoop Kaper Tropical IPA,Keg 20L,1139.9094552669553
Hoop Bleke Nelis,Bottle 33cl,1107.3250204761898
Hoop Lager,Keg 50L,871.7034060846556
Hoop Bleke Nelis,Can 33cl,568.0777876190466
Hoop Kaper Tropical IPA,Bottle 33cl,567.3668871428573
Hoop Bleke Nelis,Other,257.5940709325396
Hoop Lager,Other,90.5668464285714
Hoop Lager,Bottle 33cl,88.41136333333328
Hoop Bleke Nelis,Bottle 75cl,63.03064880952381
Hoop Kaper Tropical IPA,Other,59.790240714285716
