Beer,Container,Folds,Test Size (%),Model MAE,Naive MAE,Model RMSE,Naive RMSE,Model SMAPE (%),Naive SMAPE (%)
Hoop Bleke Nelis,Bottle 33cl,3,20,52.68851432802115,72.98823529411764,100.90484793726631,143.29922219248158,68.31987057121135,81.65380977703109
Hoop Bleke Nelis,Bottle 75cl,3,20,16.90435713878902,16.147058823529413,35.100780198684795,44.101427363904605,169.66109644401297,71.45656606258872
Hoop Bleke Nelis,Can 33cl,3,20,6.522352941176471,9.16235294117647,17.31163770415728,18.468904231962753,19.607842222263567,25.150914301592838
Hoop Bleke Nelis,Keg 20L,3,20,117.69911936494934,138.8235294117647,185.0895810887238,229.26921287382447,59.17463831750167,64.62470576881537
Hoop Bleke Nelis,Keg 50L,3,20,5.883211180696546,11.764705882352942,34.299205955368386,48.50712500726659,68.55326631323717,7.84313722875817
Hoop Bleke Nelis,Other,3,20,29.189286984917363,30.16323529411765,36.75750254429708,46.976797186214846,95.3874371292573,100.42576586108054
Hoop Kaper Tropical IPA,Bottle 33cl,3,20,23.38731859906676,28.496470588235297,33.71130487168357,39.93383003452963,92.23303569852094,93.11199731776624
Hoop Kaper Tropical IPA,Can 33cl,3,20,15.503323921562567,14.364705882352942,32.47146123092574,28.049353750511372,152.63257032539045,57.035951918412024
Hoop Kaper Tropical IPA,Keg 20L,3,20,56.83534816042455,72.15686274509804,87.11215130972828,109.56405331759957,122.89932805120004,69.53545822181484
Hoop Kaper Tropical IPA,Other,3,20,12.080525686402993,8.50235294117647,16.71229518698914,13.89034070957239,128.72479450251004,117.75800376011983
Hoop Lager,Bottle 33cl,3,20,5.335904618499012,6.677647058823529,10.584259106120983,13.929406042231676,193.99839973527435,71.85563219016842
Hoop Lager,Can 33cl,3,20,0.07764705882352942,0.07764705882352942,0.4527562647762233,0.4527562647762233,1.9607840661517446,1.9607840661517446
Hoop Lager,Keg 20L,3,20,232.59123996175956,283.13725490196083,339.9453851067797,413.68607034418443,105.19818333523246,81.45013705803638
Hoop Lager,Keg 50L,3,20,136.5214995869763,182.35294117647058,341.6101843736462,460.592306008021,184.79825140577944,46.22921383884407
Hoop Lager,Other,3,20,27.671580004513768,12.792647058823528,48.46790013594102,28.709855771511474,171.6476632204519,59.251289025009335
Overall average,—,3,20,49.25941530243858,59.1738431372549,88.03541686767258,109.29537740657285,108.98647742253303,63.289557759745975
