beer,container,model,MAE,RMSE,SMAPE
Hoop Bleke Nelis,Bottle 33cl,Naive_Last_Week,46.91076923076923,70.02510758512044,87.46914846894141
Hoop Bleke Nelis,Bottle 75cl,Naive_Last_Week,11.076923076923077,47.47610735128533,23.07692200003594
Hoop Bleke Nelis,Keg 20L,Naive_Last_Week,166.15384615384616,179.74340685458344,82.799191532481
Hoop Bleke Nelis,Keg 50L,Naive_Last_Week,11.538461538461538,58.83484054145521,7.692307666666667
Hoop Bleke Nelis,Other,Naive_Last_Week,15.345,23.387504799983063,72.83762488548527
Hoop Kaper Tropical IPA,Bottle 33cl,Naive_Last_Week,31.98461538461538,37.09935267940357,66.16698250163779
Hoop Kaper Tropical IPA,Keg 20L,Naive_Last_Week,95.38461538461539,103.77490433255417,87.85822141965866
Hoop Kaper Tropical IPA,Other,Naive_Last_Week,4.264615384615386,5.96813848055463,156.25898157866794
Hoop Lager,Bottle 33cl,Naive_Last_Week,0.0,0.0,0.0
Hoop Lager,Keg 20L,Naive_Last_Week,226.15384615384616,327.9774851559643,62.69149261598628
Hoop Lager,Keg 50L,Naive_Last_Week,105.76923076923077,109.63225241337865,196.581194648623
Hoop Lager,Other,Naive_Last_Week,18.975,19.223085580384055,187.39315301354642
Hoop Bleke Nelis,Bottle 33cl,Naive_Seasonal_52,81.94153846153846,184.55796237746853,76.87829405989466
Hoop Bleke Nelis,Bottle 75cl,Naive_Seasonal_52,23.192307692307693,48.85063577257327,90.8940853420661
Hoop Bleke Nelis,Keg 20L,Naive_Seasonal_52,153.07692307692307,316.05744365907236,78.68138959433892
Hoop Bleke Nelis,Keg 50L,Naive_Seasonal_52,11.538461538461538,58.83484054145521,7.692307666666667
Hoop Bleke Nelis,Other,Naive_Seasonal_52,25.85076923076923,41.86517508162822,94.60039203947872
Hoop Kaper Tropical IPA,Bottle 33cl,Naive_Seasonal_52,36.24923076923077,45.60286630667655,127.5165494352748
Hoop Kaper Tropical IPA,Keg 20L,Naive_Seasonal_52,83.07692307692308,108.27315883023329,151.6114745139744
Hoop Kaper Tropical IPA,Other,Naive_Seasonal_52,8.757692307692308,12.180119362810354,134.763462568811
Hoop Lager,Bottle 33cl,Naive_Seasonal_52,2.436923076923077,5.2672924003485155,61.53845078995308
Hoop Lager,Keg 20L,Naive_Seasonal_52,253.07692307692307,354.466012258092,87.80996528060876
Hoop Lager,Keg 50L,Naive_Seasonal_52,36.53846153846154,149.67914401761573,19.363395068874052
Hoop Lager,Other,Naive_Seasonal_52,6.790384615384616,11.680716357115458,107.69228830386031
Hoop Bleke Nelis,Bottle 33cl,LinearRegression,56.34520010151826,76.16914075487965,93.07053076953031
Hoop Bleke Nelis,Bottle 75cl,LinearRegression,33.24349879730793,55.30922561491211,85.10338721054586
Hoop Bleke Nelis,Keg 20L,LinearRegression,91.91422745064315,110.90379500200983,56.90342165017619
Hoop Bleke Nelis,Keg 50L,LinearRegression,16.094928820862258,57.12866484197819,176.390796144707
Hoop Bleke Nelis,Other,LinearRegression,17.939427563482987,23.47284591584609,97.46550424061246
Hoop Kaper Tropical IPA,Bottle 33cl,LinearRegression,26.107056738423992,37.94835451900299,80.48262226511038
Hoop Kaper Tropical IPA,Keg 20L,LinearRegression,62.78541362655289,86.12784145707201,87.90563437306638
