week;beer;container;liters;temp_mean;rain_mm;event_week;week_of_year;month;year;time_index;hot_week;rainy_week
22/11/2021;Hoop Bleke Nelis;Bottle 33cl;130.68;5.042.857.142.857.140;19.599.999.999.999.900;0;47;11;2021;0;0;1
29/11/2021;Hoop Bleke Nelis;Bottle 33cl;154.44;50.857.142.857.142.800;31.599.999.999.999.900;0;48;11;2021;1;0;1
06/12/2021;Hoop Bleke Nelis;Bottle 33cl;431.64;4.171.428.571.428.570;20.9;0;49;12;2021;2;0;1
13/12/2021;Hoop Bleke Nelis;Bottle 33cl;20.592.000.000.000.000;8.028.571.428.571.420;19.000.000.000.000.000;0;50;12;2021;3;0;0
20/12/2021;Hoop Bleke Nelis;Bottle 33cl;19.8;1.2;5.2;0;51;12;2021;4;0;0
27/12/2021;Hoop Bleke Nelis;Bottle 33cl;142.56;937.142.857.142.857;20.4;0;52;12;2021;5;0;1
03/01/2022;Hoop Bleke Nelis;Bottle 33cl;7.92;5.2;43.0;0;1;1;2022;6;0;1
10/01/2022;Hoop Bleke Nelis;Bottle 33cl;213.84;4.028.571.428.571.420;1.0;0;2;1;2022;7;0;0
17/01/2022;Hoop Bleke Nelis;Bottle 33cl;79.2;5.457.142.857.142.850;0.7;0;3;1;2022;8;0;0
24/01/2022;Hoop Bleke Nelis;Bottle 33cl;0.0;5.785.714.285.714.280;1.3;0;4;1;2022;9;0;0
31/01/2022;Hoop Bleke Nelis;Bottle 33cl;23.759.999.999.999.900;68.999.999.999.999.900;40.2;0;5;1;2022;10;0;1
07/02/2022;Hoop Bleke Nelis;Bottle 33cl;23.759.999.999.999.900;61.000.000.000.000.000;6.5;0;6;2;2022;11;0;0
14/02/2022;Hoop Bleke Nelis;Bottle 33cl;13.464.000.000.000.000;7.971.428.571.428.570;57.699.999.999.999.900;0;7;2;2022;12;0;1
21/02/2022;Hoop Bleke Nelis;Bottle 33cl;47.519.999.999.999.900;5.642.857.142.857.140;20.2;0;8;2;2022;13;0;1
28/02/2022;Hoop Bleke Nelis;Bottle 33cl;340.56;37.285.714.285.714.200;2.8;0;9;2;2022;14;0;0
07/03/2022;Hoop Bleke Nelis;Bottle 33cl;0.0;7.142.857.142.857.140;0.4;0;10;3;2022;15;0;0
14/03/2022;Hoop Bleke Nelis;Bottle 33cl;15.84;8.014.285.714.285.710;1.8;0;11;3;2022;16;0;0
21/03/2022;Hoop Bleke Nelis;Bottle 33cl;130.68;9.142.857.142.857.140;0.39999999999999997;0;12;3;2022;17;0;0
28/03/2022;Hoop Bleke Nelis;Bottle 33cl;39.6;4.757.142.857.142.850;25.2;0;13;3;2022;18;0;1
04/04/2022;Hoop Bleke Nelis;Bottle 33cl;51.480.000.000.000.000;76.000.000.000.000.000;39.0;0;14;4;2022;19;0;1
11/04/2022;Hoop Bleke Nelis;Bottle 33cl;182.16;1.062.857.142.857.140;0.2;0;15;4;2022;20;0;0
18/04/2022;Hoop Bleke Nelis;Bottle 33cl;178.2;11.9;0.1;0;16;4;2022;21;0;0
25/04/2022;Hoop Bleke Nelis;Bottle 33cl;3.96;8.557.142.857.142.850;36.999.999.999.999.900;0;17;4;2022;22;0;0
02/05/2022;Hoop Bleke Nelis;Bottle 33cl;110.88;11.171.428.571.428.500;20.999.999.999.999.900;0;18;5;2022;23;0;0
09/05/2022;Hoop Bleke Nelis;Bottle 33cl;47.52;14.314.285.714.285.700;5.9;1;19;5;2022;24;0;0
16/05/2022;Hoop Bleke Nelis;Bottle 33cl;431.64;15.785.714.285.714.200;24.300.000.000.000.000;0;20;5;2022;25;0;1
23/05/2022;Hoop Bleke Nelis;Bottle 33cl;15.84;13.228.571.428.571.400;14.7;0;21;5;2022;26;0;1
30/05/2022;Hoop Bleke Nelis;Bottle 33cl;20.592.000.000.000.000;13.271.428.571.428.500;27.2;0;22;5;2022;27;0;1
06/06/2022;Hoop Bleke Nelis;Bottle 33cl;142.56;15.085.714.285.714.200;26.5;0;23;6;2022;28;0;1
13/06/2022;Hoop Bleke Nelis;Bottle 33cl;43.56;1.667.142.857.142.850;4.8;0;24;6;2022;29;0;0
20/06/2022;Hoop Bleke Nelis;Bottle 33cl;217.8;17.428.571.428.571.400;29.8;1;25;6;2022;30;0;1
27/06/2022;Hoop Bleke Nelis;Bottle 33cl;538.56;17.071.428.571.428.500;24.7;0;26;6;2022;31;0;1
04/07/2022;Hoop Bleke Nelis;Bottle 33cl;67.32;16.2;2.5;0;27;7;2022;32;0;0
