date,temp_mean,rain_mm
2021-11-22,5.8,0.1
2021-11-23,8.0,0.1
2021-11-24,6.5,0.0
2021-11-25,6.3,1.3
2021-11-26,4.4,8.6
2021-11-27,2.0,9.1
2021-11-28,2.3,0.4
2021-11-29,3.6,0.5
2021-11-30,8.7,9.5
2021-12-01,8.7,11.2
2021-12-02,3.1,3.1
2021-12-03,3.0,1.0
2021-12-04,4.6,3.5
2021-12-05,3.9,2.8
2021-12-06,1.8,6.5
2021-12-07,3.9,3.0
2021-12-08,4.7,4.6
2021-12-09,3.2,0.0
2021-12-10,2.8,0.2
2021-12-11,4.0,0.4
2021-12-12,8.8,6.2
2021-12-13,9.4,0.0
2021-12-14,8.5,1.1
2021-12-15,9.7,0.7
2021-12-16,7.2,0.0
2021-12-17,6.6,0.0
2021-12-18,7.2,0.0
2021-12-19,7.6,0.1
2021-12-20,4.9,0.1
2021-12-21,-2.0,0.0
2021-12-22,-1.6,0.0
2021-12-23,2.0,1.4
2021-12-24,7.4,3.5
2021-12-25,-0.7,0.2
2021-12-26,-1.6,0.0
2021-12-27,2.8,1.9
2021-12-28,7.4,4.3
2021-12-29,8.9,2.4
2021-12-30,11.6,1.1
2021-12-31,11.9,1.6
2022-01-01,11.7,0.0
2022-01-02,11.3,9.1
2022-01-03,9.0,1.0
2022-01-04,6.6,2.5
2022-01-05,5.2,8.9
2022-01-06,3.4,0.3
2022-01-07,3.7,8.5
2022-01-08,3.2,13.4
2022-01-09,5.3,8.4
2022-01-10,1.7,0.0
2022-01-11,1.6,0.3
2022-01-12,3.7,0.5
2022-01-13,5.5,0.0
2022-01-14,5.9,0.0
2022-01-15,3.9,0.0
2022-01-16,5.9,0.2
2022-01-17,6.7,0.0
2022-01-18,4.8,0.0
2022-01-19,4.8,0.3
2022-01-20,4.5,0.0
2022-01-21,4.9,0.0
2022-01-22,6.4,0.4
2022-01-23,6.1,0.0
2022-01-24,4.5,0.0
2022-01-25,2.8,0.0
2022-01-26,4.3,0.0
2022-01-27,7.1,1.3
2022-01-28,6.4,0.0
2022-01-29,9.1,0.0
2022-01-30,6.3,0.0
2022-01-31,5.8,8.1
2022-02-01,7.1,0.7
2022-02-02,7.9,1.3
2022-02-03,7.5,1.7
2022-02-04,6.4,11.2
2022-02-05,6.0,1.8
2022-02-06,7.6,15.4
2022-02-07,5.7,0.2
2022-02-08,9.2,0.3
2022-02-09,8.7,0.4
2022-02-10,6.9,3.4
2022-02-11,4.7,2.2
2022-02-12,2.6,0.0
2022-02-13,4.9,0.0
2022-02-14,9.5,0.7
2022-02-15,6.6,14.6
2022-02-16,10.1,8.9
2022-02-17,8.6,0.7
2022-02-18,8.0,6.3
2022-02-19,5.4,9.1
2022-02-20,7.6,17.4
2022-02-21,6.2,6.4
2022-02-22,7.0,2.6
2022-02-23,7.7,0.0
2022-02-24,6.2,7.0
2022-02-25,5.1,4.2
2022-02-26,3.3,0.0
2022-02-27,4.0,0.0
2022-02-28,4.2,0.0
2022-03-01,4.2,2.8
2022-03-02,5.6,0.0
2022-03-03,4.1,0.0
2022-03-04,3.8,0.0
2022-03-05,1.5,0.0
2022-03-06,2.7,0.0
2022-03-07,2.8,0.0
2022-03-08,4.0,0.0
2022-03-09,5.3,0.0
2022-03-10,7.1,0.0
2022-03-11,9.0,0.0
2022-03-12,10.4,0.4
2022-03-13,11.4,0.0
2022-03-14,9.4,0.6
2022-03-15,8.5,0.2
