Datum,S_Grondstof,S_Container,S_Liter,V_Aantal,S_Order_Count,S_Customer_Count,S_Country_Reach,S_City_Reach,S_Main_City,S_Main_Customer,S_Main_Country,V_Product_Name,V_Business_Name,V_Storage_Location,E_Event_Name,V_Type,temp_mean,rain_mm
2021-11-24,Hoop Bleke Nelis,Giftset,13.2,-11.0,1,1,1,1,Utrecht,Van Bieren Retail B.V.,Nederland,Hoop Cadeauset 5x 5 fles kern,Gall&Gall Oudorperplein Alkmaar5112,Lagedijk,,Verzending,6.5,0.0
2021-11-24,Hoop Bleke Nelis,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Bleke Nelis,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Bleke Nelis,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Bleke Nelis,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Bleke Nelis,Other,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Bleke Nelis,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Kaper Tropical IPA,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Kaper Tropical IPA,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Kaper Tropical IPA,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Kaper Tropical IPA,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Kaper Tropical IPA,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Kaper Tropical IPA,Other,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Kaper Tropical IPA,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Lager,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Lager,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Lager,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Lager,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Lager,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Lager,Other,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-24,Hoop Lager,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,6.5,0.0
2021-11-25,Hoop Bleke Nelis,Giftset,32.01,-58.0,3,3,1,3,Middenmeer,Biergro Bv,Nederland,Hoop Cadeauset 5x 5 fles Holiday Cheers,Winkel | Hoop doet Eten,Lagedijk,,Verzending,6.3,1.3
